DATEPRD,NPD_WELL_BORE_NAME,ON_STREAM_HRS,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,AVG_WHP_P,AVG_CHOKE_SIZE_P,BORE_OIL_VOL,BORE_GAS_VOL,BORE_WAT_VOL,BORE_WI_VOL,FLOW_KIND,WELL_TYPE
2014-04-07,15/9-F-1 C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,production,WI
2014-04-08,15/9-F-1 C,0.000,,,0.000,1.003,0.000,0.000,0.000,,production,OP
2014-04-09,15/9-F-1 C,0.000,,,0.000,0.979,0.000,0.000,0.000,,production,OP
2014-04-10,15/9-F-1 C,0.000,,,0.000,0.546,0.000,0.000,0.000,,production,OP
2014-04-11,15/9-F-1 C,0.000,310.376,96.876,33.098,1.216,0.000,0.000,0.000,,production,OP
2014-04-12,15/9-F-1 C,0.000,303.501,96.923,22.053,3.087,0.000,0.000,0.000,,production,OP
2014-04-13,15/9-F-1 C,0.000,303.535,96.959,27.503,1.962,0.000,0.000,0.000,,production,OP
2014-04-14,15/9-F-1 C,0.000,303.782,96.969,20.996,0.000,0.000,0.000,0.000,,production,OP
2014-04-15,15/9-F-1 C,0.000,303.858,97.021,13.918,31.142,0.000,0.000,0.000,,production,OP
2014-04-16,15/9-F-1 C,0.000,303.792,97.066,4.120,0.000,0.000,0.000,0.000,,production,OP
2014-04-17,15/9-F-1 C,0.000,304.335,96.919,21.434,41.236,0.000,0.000,0.000,,production,OP
2014-04-18,15/9-F-1 C,0.000,304.849,96.720,31.148,0.000,0.000,0.000,0.000,,production,OP
2014-04-19,15/9-F-1 C,0.000,305.371,96.616,45.752,0.437,0.000,0.000,0.000,,production,OP
2014-04-20,15/9-F-1 C,0.000,313.871,96.560,31.056,0.454,0.000,0.000,0.000,,production,OP
2014-04-21,15/9-F-1 C,11.500,301.376,102.676,96.580,20.990,0.000,0.000,0.000,,production,OP
2014-04-22,15/9-F-1 C,24.000,289.421,106.353,107.362,43.343,631.470,90439.090,0.000,,production,OP
2014-04-23,15/9-F-1 C,24.000,270.240,107.644,99.187,47.168,1166.460,165720.390,0.000,,production,OP
2014-04-24,15/9-F-1 C,24.000,262.843,107.869,94.601,47.732,1549.810,221707.310,0.000,,production,OP
2014-04-25,15/9-F-1 C,24.000,255.527,107.971,89.988,48.534,1248.700,178063.520,0.000,,production,OP
2014-04-26,15/9-F-1 C,24.000,247.199,108.052,84.777,49.845,1345.780,192602.190,0.000,,production,OP
2014-04-27,15/9-F-1 C,24.000,240.736,108.054,80.837,50.297,1349.560,194496.270,0.000,,production,OP
2014-04-28,15/9-F-1 C,24.000,235.021,108.042,77.338,50.736,1345.610,192899.710,0.000,,production,OP
2014-04-29,15/9-F-1 C,24.000,232.744,107.988,75.949,50.114,1279.460,184900.310,0.000,,production,OP
2014-04-30,15/9-F-1 C,24.000,233.298,107.893,76.118,48.927,1225.620,177107.860,0.000,,production,OP
2014-05-01,15/9-F-1 C,24.000,231.089,107.877,74.690,48.939,1212.900,174608.880,0.000,,production,OP
2014-05-02,15/9-F-1 C,24.000,231.419,107.817,74.729,48.304,1074.040,154870.670,0.000,,production,OP
2014-05-03,15/9-F-1 C,24.000,230.766,107.795,74.160,48.173,1044.170,147929.930,0.000,,production,OP
2014-05-04,15/9-F-1 C,24.000,230.596,107.764,73.908,47.466,970.200,139378.450,0.000,,production,OP
2014-05-05,15/9-F-1 C,24.000,229.424,107.780,72.994,47.840,946.120,136980.490,0.000,,production,OP
2014-05-06,15/9-F-1 C,24.000,225.902,107.860,70.952,49.006,1002.830,144950.150,0.000,,production,OP
2014-05-07,15/9-F-1 C,24.000,225.768,107.838,70.710,47.920,925.310,135000.240,0.000,,production,OP
2014-05-08,15/9-F-1 C,24.000,225.687,107.821,70.545,47.297,913.860,127564.510,0.000,,production,OP
2014-05-09,15/9-F-1 C,13.833,227.798,107.599,70.946,29.134,176.800,24322.700,0.000,,production,OP
2014-05-10,15/9-F-1 C,24.000,226.061,107.684,70.896,48.134,944.190,52162.580,0.000,,production,OP
2014-05-11,15/9-F-1 C,24.000,225.097,107.836,69.935,47.494,823.410,117731.720,0.000,,production,OP
2014-05-12,15/9-F-1 C,24.000,226.023,107.772,70.226,46.934,769.010,111238.010,0.000,,production,OP
2014-05-13,15/9-F-1 C,24.000,226.905,107.717,70.328,46.335,740.800,107144.400,0.000,,production,OP
2014-05-14,15/9-F-1 C,24.000,225.576,107.741,69.372,45.162,713.240,102880.550,0.000,,production,OP
2014-05-15,15/9-F-1 C,24.000,225.893,107.709,69.067,46.316,743.830,106745.440,0.000,,production,OP
2014-05-16,15/9-F-1 C,24.000,225.701,107.710,68.593,46.346,736.090,104864.020,0.000,,production,OP
2014-05-17,15/9-F-1 C,24.000,223.603,107.778,67.256,47.087,782.880,110078.320,0.000,,production,OP
2014-05-18,15/9-F-1 C,24.000,220.102,107.889,65.407,47.770,834.680,117387.580,0.000,,production,OP
2014-05-19,15/9-F-1 C,24.000,220.490,107.860,65.314,47.136,788.800,109517.370,0.000,,production,OP
2014-05-20,15/9-F-1 C,24.000,220.154,107.859,64.916,47.142,783.060,109362.200,0.000,,production,OP
2014-05-21,15/9-F-1 C,24.000,220.066,107.851,64.691,46.525,743.770,104993.120,0.000,,production,OP
2014-05-22,15/9-F-1 C,24.000,219.983,107.852,64.436,46.289,735.410,107115.770,0.000,,production,OP
2014-05-23,15/9-F-1 C,24.000,219.863,107.867,64.291,46.284,742.890,108079.030,93.310,,production,OP
2014-05-24,15/9-F-1 C,24.000,219.923,107.883,64.170,46.242,746.540,108387.020,100.420,,production,OP
2014-05-25,15/9-F-1 C,24.000,219.977,107.903,64.073,46.262,750.570,105809.710,101.010,,production,OP
2014-05-26,15/9-F-1 C,24.000,219.974,107.921,63.930,46.265,727.260,106514.130,86.620,,production,OP
2014-05-27,15/9-F-1 C,24.000,219.980,107.936,63.737,46.226,715.500,105800.290,91.080,,production,OP
2014-05-28,15/9-F-1 C,24.000,219.267,107.445,63.551,46.215,695.010,102249.560,76.960,,production,OP
2014-05-29,15/9-F-1 C,24.000,220.007,107.962,63.458,46.215,698.770,102823.500,77.130,,production,OP
2014-05-30,15/9-F-1 C,24.000,220.000,107.974,63.335,46.232,704.080,103977.990,77.960,,production,OP
2014-05-31,15/9-F-1 C,24.000,219.994,107.985,63.210,46.207,715.930,105761.320,78.990,,production,OP
2014-06-01,15/9-F-1 C,24.000,220.006,107.994,63.142,46.265,724.210,107035.760,80.080,,production,OP
2014-06-02,15/9-F-1 C,22.000,221.328,107.825,63.790,41.713,459.830,68263.310,46.210,,production,OP
2014-06-03,15/9-F-1 C,24.000,220.240,107.965,62.373,46.193,715.100,104865.930,80.700,,production,OP
2014-06-04,15/9-F-1 C,24.000,221.268,107.961,61.817,46.157,706.800,104234.100,79.730,,production,OP
2014-06-05,15/9-F-1 C,24.000,221.045,107.973,62.286,47.042,677.290,99517.490,90.570,,production,OP
2014-06-06,15/9-F-1 C,24.000,220.750,107.987,63.076,47.203,690.380,99850.490,92.180,,production,OP
2014-06-07,15/9-F-1 C,24.000,220.640,107.994,63.362,47.194,694.300,100306.260,92.070,,production,OP
2014-06-08,15/9-F-1 C,24.000,220.504,108.003,63.319,47.152,690.700,99959.040,91.250,,production,OP
2014-06-09,15/9-F-1 C,19.500,221.451,107.757,62.337,38.979,238.450,34915.850,28.150,,production,OP
2014-06-10,15/9-F-1 C,24.000,220.852,107.991,62.777,46.513,647.110,95262.300,84.880,,production,OP
2014-06-11,15/9-F-1 C,24.000,218.415,108.065,61.730,47.815,745.920,108793.220,94.230,,production,OP
2014-06-12,15/9-F-1 C,24.000,215.497,108.139,59.938,48.728,804.850,116554.820,101.880,,production,OP
2014-06-13,15/9-F-1 C,24.000,214.823,108.135,60.138,48.264,818.890,120308.030,56.750,,production,OP
2014-06-14,15/9-F-1 C,24.000,215.833,108.105,60.235,48.006,781.210,115374.090,54.320,,production,OP
2014-06-15,15/9-F-1 C,24.000,214.877,108.114,59.920,48.040,786.160,116058.030,54.550,,production,OP
2014-06-16,15/9-F-1 C,24.000,215.381,108.088,60.048,47.740,757.430,111152.610,51.840,,production,OP
2014-06-17,15/9-F-1 C,24.000,216.119,108.067,60.140,47.624,726.500,107050.890,50.670,,production,OP
2014-06-18,15/9-F-1 C,24.000,215.984,108.066,59.787,47.640,723.960,106456.630,51.300,,production,OP
2014-06-19,15/9-F-1 C,24.000,215.818,108.066,59.440,47.607,715.280,105827.770,52.960,,production,OP
2014-06-20,15/9-F-1 C,24.000,215.579,108.073,59.091,47.585,710.620,104860.950,50.870,,production,OP
2014-06-21,15/9-F-1 C,24.000,215.304,108.079,58.705,47.611,708.040,104155.820,50.480,,production,OP
2014-06-22,15/9-F-1 C,24.000,214.949,108.085,58.236,47.620,702.730,102417.800,51.700,,production,OP
2014-06-23,15/9-F-1 C,24.000,214.858,108.087,57.464,47.660,695.740,102284.590,51.690,,production,OP
2014-06-24,15/9-F-1 C,24.000,214.897,108.080,56.908,47.628,658.270,96651.980,94.650,,production,OP
2014-06-25,15/9-F-1 C,24.000,214.822,108.084,56.875,46.568,576.350,85082.220,79.350,,production,OP
2014-06-26,15/9-F-1 C,16.583,219.559,107.447,60.978,44.000,369.830,55419.550,51.460,,production,OP
